artists,frequency,rank_sum,ranking_score,rank,rank_sum_normalized,frequency_normalized
"Taylor Swift, Post Malone",99,13.225122033679593,69.33768305051939,53.0,0.07536267546317638,0.08588957055214724
"ROSÉ, Bruno Mars",90,15.810584382039035,68.71587657305855,54.0,0.09011811349583652,0.07800175284837861
Bobby Helms,72,20.905580996940994,67.35837149541149,55.0,0.11919566199523839,0.062226117440841375
Artemas,102,9.963251399340859,65.9448770990113,56.0,0.056746921864567874,0.08851884312007012
Michael Bublé,112,6.011504222902841,65.01725633435426,57.0,0.03419398829751349,0.09728308501314636
"Kendrick Lamar, SZA",67,19.613290335431365,62.919935503147045,58.0,0.11182045701954413,0.057843996494303246
"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",80,15.20430672978627,62.80646009467941,59.0,0.08665803900119969,0.06923751095530237
"JID, 21 Savage, Baby Tate",108,5.4080586675137035,62.11208800127056,60.0,0.030750076803587253,0.09377738825591586
"FloyyMenor, Cris Mj",109,3.9430028642705555,60.41450429640583,61.0,0.02238888750494578,0.09465381244522349
"Tyler, The Creator",97,7.765812134011161,60.14871820101674,62.0,0.044205962244451655,0.08413672217353199
Wham!,79,11.593140665106997,56.889710997660494,63.0,0.06604882876581149,0.06836108676599474
Eminem,92,6.907719559371424,56.36157933905714,64.0,0.03930876007888286,0.07975460122699386
Nat King Cole,97,4.4792091516357,55.21881372745355,65.0,0.02544905918022063,0.08413672217353199
Don Toliver,101,3.105574966854438,55.15836245028166,66.0,0.017609620286072887,0.0876424189307625
Kanye West,98,2.4754082858985305,52.71311242884779,67.0,0.014013209215924393,0.08501314636283962
Charli xcx,92,3.150636015467247,50.72595402320087,68.0,0.017866787253101004,0.07975460122699386
Bryson Tiller,84,5.744889537763412,50.61733430664512,69.0,0.03267239721046158,0.07274320771253287
"The Weeknd, JENNIE, Lily-Rose Depp",91,3.053098065232259,50.07964709784839,70.0,0.017310130459611713,0.07887817703768624
"Future, Metro Boomin, Travis Scott, Playboi Carti",82,5.84495320527781,49.76742980791671,71.0,0.0332434684721515,0.07099035933391762
The Marías,91,2.8062559413298387,49.709383911994756,72.0,0.015901382942788075,0.07887817703768624
"¥$, Kanye West, Ty Dolla $ign",69,9.344668904046529,48.51700335606979,73.0,0.053216622657853284,0.05959684487291849
"Charli xcx, Billie Eilish",82,4.909133141838179,48.36369971275727,74.0,0.027902669382748605,0.07099035933391762
Flo Milli,76,6.700600419942243,48.050900629913365,75.0,0.03812671477500737,0.06573181419807186
"Kendrick Lamar, Lefty Gunplay",58,12.321753046854745,47.482629570282114,76.0,0.07020707723364536,0.04995617879053462
"Tyler, The Creator, Lola Young",79,5.205241993279994,47.30786298991999,77.0,0.02959258600874174,0.06836108676599474
"Kanye West, Ty Dolla $ign",66,9.441362668350235,47.16204400252535,78.0,0.053768461615490135,0.05696757230499562
TV Girl,88,2.051253587130095,47.076880380695144,79.0,0.01159252481573943,0.07624890446976336
Rich Amiri,81,3.6658014143047684,45.99870212145715,80.0,0.02080687691402416,0.07011393514460999
Andy Williams,65,8.013934098573543,44.520901147860314,81.0,0.04562201391310784,0.056091148115687994
Myles Smith,79,2.229907017594301,42.84486052639145,82.0,0.012612114068009703,0.06836108676599474
Dean Martin,65,6.490498830682335,42.235748246023505,83.0,0.036927648394150914,0.056091148115687994
"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",74,3.3649828442381287,42.04747426635719,84.0,0.019090081551481657,0.06397896581945661
"Future, Metro Boomin",69,4.908835943194205,41.86325391479131,85.0,0.02790097324659047,0.05959684487291849
Drake,66,3.9360137356148157,38.904020603422225,86.0,0.022348999995136367,0.05696757230499562
Nicki Minaj,62,4.355253147406043,37.53287972110907,87.0,0.024741632463932364,0.05346187554776512
Burl Ives,59,4.073613659288592,35.61042048893289,88.0,0.023134293638401172,0.05083260297984225
"Hanumankind, Kalmi",61,2.5823349997092673,34.3735024995639,89.0,0.014623448425430362,0.05258545135845749
"The Weeknd, Playboi Carti, Madonna",61,2.2144192541634014,33.821628881245104,90.0,0.012523724177623503,0.05258545135845749
Kelly Clarkson,54,3.285612841727204,31.928419262590808,91.0,0.018637110672039086,0.04645048203330412
The Ronettes,54,3.269458458596655,31.904187687894982,92.0,0.018544916330323024,0.04645048203330412
Richy Mitch & The Coal Miners,59,1.3848181029239106,31.577227154385866,93.0,0.007789124817975039,0.05083260297984225
José Feliciano,54,2.983534531112403,31.475301796668603,94.0,0.016913125870591232,0.04645048203330412
Frank Sinatra,57,1.8197674683258418,31.229651202488764,95.0,0.01027141523408007,0.049079754601226995
